(NORTH DAKOTA, v. BIRCHFIELD is, 2016)
(emer-gency assistance, engage in, pursuit of fleeing suspect)
(fire, investigate, its cause)
(emer-gency assistance, engage in, hot pursuit of suspect)
(officers, ', need provide to occupant of home)
(driver, has, blood alcohol level)
(U. S. 757, sustained injuries In, Schmerber)
(man, was transported to, hospital)
(U. S. 757, sustained injuries in, car accident)
(384 U. S. 757, sustained injuries In, Schmerber)
(man, was, transported)
(384 U. S. 757, sustained injuries for, instance)
(U. S. 757, sustained, injuries)
(384 U. S. 757, sustained, injuries)
(U. S. 757, sustained injuries for, instance)
(384 U. S. 757, sustained injuries in, car accident)
(police officer, there arrested, him)
(police officer, ordered, warrantless blood test)
(police officer, ordered, blood test)
(blood test, measure, his blood alcohol content)
(warrantless blood test, measure, his blood alcohol content)
(police officer, arrested, him)
(search, was justified, several hours had passed)
(warrantless search, was, justified)
(scene, was, taken)
(several hours, had passed, police investigated)
(warrant requirement, applies to, blood tests)
(scene, was taken to, hospital)
(search, was justified, warrant requirement applies to blood tests)
(warrant requirement, generally applies to, blood tests)
(warrantless search, was justified, hours had passed)
(search, was justified, warrant requirement applies)
(warrantless search, precluding, timely securing)
(warrantless search, was justified, warrant requirement applies)
(warrantless search, was justified, several hours had passed)
(warrantless search, was justified, warrant requirement applies to postarrest blood tests)
(warrantless search, precluding, timely securing of warrant)
(search, precluding, timely securing)
(warrantless search, was justified, warrant requirement generally applies)
(hours, had passed, police investigated)
(warrantless search, was justified, warrant requirement generally applies to postarrest blood tests)
(search, precluding, timely securing of warrant)
(search, was, justified)
(search, precluding, securing)
(search, precluding, securing of warrant)
(search, was justified, hours had passed)
(search, was justified, warrant requirement generally applies to blood tests)
(search, was justified, warrant requirement generally applies)
(search, was justified, warrant requirement applies to postarrest blood tests)
(search, was justified, warrant requirement generally applies to postarrest blood tests)
(warrant requirement, applies to, postarrest blood tests)
(warrant requirement, generally applies to, postarrest blood tests)
(warrantless search, was justified, warrant requirement applies to blood tests)
(warrantless search, was justified, warrant requirement generally applies to blood tests)
(warrantless search, precluding, securing of warrant)
(warrantless search, precluding, securing)
(Court, also recognizes, forms)
(person, has, privacy interest)
(Court, recognizes, forms)
(Relevant, is, search-incident-to-arrest exception)
(Relevant, is, exception)
(arrestee, on, person)
(exception, allows, officers)
(officers, conduct, postarrest search)
(officers, conduct, limited postarrest search)
(___, at Riley is, 573 U. S.)
(step, is, necessary for particular kind)
(next step, is, necessary for particular kind)
(next step, is, necessary for kind)
(step, is Given, kinds of exceptions to warrant requirement)
(next step, is Given, kinds)
(form, is, necessary)
(step, is Given, different kinds)
(next step, is Given, different kinds of exceptions to warrant requirement)
(step, is, necessary for kind of postarrest search)
(step, is, necessary for kind)
(step, is, necessary)
(form, is necessary for, particular kind)
(next step, is Given, different kinds)
(step, is Given, kinds)
(step, is Given, kinds of exceptions)
(step, is, ask)
(step, is, necessary for particular kind of postarrest search)
(next step, is, ask)
(next step, is Given, different kinds of exceptions)
(step, is Given, different kinds of exceptions)
(next step, is, necessary for kind of postarrest search)
(form, is necessary for, particular kind of postarrest search)
(next step, is, necessary for particular kind of postarrest search)
(next step, is Given, kinds of exceptions)
(step, is Given, different kinds of exceptions to warrant requirement)
(particular way, is in, particular case)
(next step, is, necessary)
(form, is necessary for, kind of postarrest search)
(form, is necessary for, kind)
(next step, is Given, kinds of exceptions to warrant requirement)
(___, at Riley is, 573 U. S.)
(governmental interest, justifies searches in, light of individual 's privacy)
(interest, is adequately addressed by, exception)
(question, condense considerations into, rule)
(interest, is, addressed)
(interest, is adequately addressed by, case-by-case exception)
(interest, justifies searches in, light of individual 's privacy)
(question, condense, considerations)
(interest, is addressed by, case-by-case exception)
(interest, justifies, searches)
(interest, requires exception by, its nature)
(governmental interest, requires, exception)
(governmental interest, requires, categorical exception to warrant requirement)
(legitimate governmental interest, justifies, searches)
(governmental interest, requires, categorical exception)
(governmental interest, is addressed by, case-by-case exception)
(individual, of, privacy)
(governmental interest, justifies searches in, light)
(interest, justifies searches in, light)
(interest, requires, exception to warrant requirement)
(governmental interest, justifies, warrantless searches)
(interest, requires, categorical exception)
(governmental interest, is adequately addressed by, exception)
(legitimate interest, justifies, searches)
(governmental interest, justifies, searches)
(governmental interest, is, addressed)
(interest, requires, exception)
(interest, justifies, warrantless searches)
(governmental interest, is addressed by, exception)
(interest, is addressed by, exception)
(legitimate interest, justifies searches in, light)
(governmental interest, is adequately addressed by, case-by-case exception)
(legitimate interest, justifies, warrantless searches)
(governmental interest, is, adequately addressed)
(legitimate interest, justifies searches in, light of individual 's privacy)
(legitimate governmental interest, justifies searches in, light)
(governmental interest, requires, exception to warrant requirement)
(interest, requires, categorical exception to warrant requirement)
(legitimate governmental interest, justifies searches in, light of individual 's privacy)
(legitimate governmental interest, justifies, warrantless searches)
(question, condense considerations into, straightforward rule)
(question, condense, doctrinal considerations)
(interest, is, adequately addressed)
(governmental interest, requires exception by, its nature)
(Court, has twice applied, framework)
(Court, has twice applied framework in, recent terms)
(Court, has applied framework in, recent terms)
(Court, has applied framework in, terms)
(Court, has applied, framework)
(Court, has twice applied framework in, terms)
(police officer, placing person under, arrest)
(police officer, placing, person)
(police officer, warrantless search of, his cell phone data)
(police officer, conduct, warrantless search)
(police officer, conduct, warrantless search of his cell phone data)
(police officer, conduct, search)
(police officer, search of, his cell phone data)
(police officer, conduct, search of his cell phone data)
(California, asked for, rule)
(Court, rejected, request)
(California, asked for, categorical rule)
(phone, was, secured)
(phone data, posed, danger)
(phone data, posed, risk)
(phone data, posed risk, secured)
(phone data, posed, danger to officer safety)
(risk, danger to, officer safety)
(phone data, posed, risk of evidence)
(physical phone, was, secured)
(phone data, posed danger, secured)
(phone data, risk of, evidence)
(circumstances exception, be available in, now situation)
(exigent circumstances exception, be available in, now situation)
(exigent circumstances exception, be available in, situation)
(circumstances exception, be available in, situation)
(exigent circumstances exception, be, available)
(circumstances exception, be, available)
(McNeely, Similarly applied, doctrinal analysis)
(McNeely, applied, doctrinal analysis)
(McNeely, Similarly applied, analysis)
(McNeely, Similarly applied analysis to, case)
(McNeely, applied, analysis)
(McNeely, applied analysis to, case)
(natural dissipation, justified, circumstances exception)
(circumstances exception, dissipation in, person 's blood)
(per exigent circumstances, exception in, new kind)
(per circumstances, exception in, essence)
(natural dissipation, justified, per circumstances exception to warrant requirement)
(dissipation, justified, per exigent circumstances)
(per circumstances, natural dissipation in, person 's blood)
(exception, is in, essence)
(dissipation, justified, exigent circumstances exception in essence)
(per exigent circumstances exception, natural dissipation of, alcohol)
